#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 3 22.5135 0.0006
0.02 0.059991 2.9982 22.527 0.00119964
0.03 0.089955 2.9946 22.5405 0.0017982
0.04 0.119874 2.9892 22.5539 0.00239497
0.05 0.14973 2.98201 22.5673 0.00298922
0.06 0.179505 2.97303 22.5806 0.00358026
0.07 0.209182 2.96226 22.5938 0.00416739
0.08 0.238742 2.94971 22.6069 0.00474991
0.09 0.268167 2.93538 22.6199 0.00532715
0.1 0.29744 2.91929 22.6327 0.00589844
0.11 0.326544 2.90144 22.6454 0.00646312
0.12 0.35546 2.88185 22.658 0.00702056
0.13 0.384172 2.86052 22.6703 0.00757014
0.14 0.412662 2.83747 22.6825 0.00811126
0.15 0.440913 2.81271 22.6945 0.00864334
0.16 0.468908 2.78626 22.7062 0.00916581
0.17 0.49663 2.75813 22.7178 0.00967815
0.18 0.524062 2.72833 22.729 0.0101798
0.19 0.551188 2.69688 22.7401 0.0106704
0.2 0.577992 2.66381 22.7509 0.0111493
0.21 0.604457 2.62913 22.7614 0.0116163
0.22 0.630567 2.59287 22.7716 0.0120707
0.23 0.656306 2.55503 22.7815 0.0125124
0.24 0.68166 2.51565 22.7912 0.012941
0.25 0.706612 2.47475 22.8005 0.013356
0.26 0.731147 2.43236 22.8095 0.0137574
0.27 0.755251 2.38849 22.8183 0.0141447
0.28 0.77891 2.34317 22.8267 0.0145178
0.29 0.802108 2.29644 22.8347 0.0148766
0.3 0.824831 2.24831 22.8425 0.0152209
0.31 0.847067 2.19882 22.8499 0.0155505
0.32 0.868801 2.148 22.857 0.0158654
0.33 0.890021 2.09587 22.8637 0.0161656
0.34 0.910712 2.04247 22.8701 0.016451
0.35 0.930864 1.98783 22.8762 0.0167217
0.36 0.950463 1.93197 22.882 0.0169778
0.37 0.969497 1.87495 22.8874 0.0172193
0.38 0.987956 1.81678 22.8925 0.0174465
0.39 1.00583 1.7575 22.8973 0.0176594
0.4 1.0231 1.69715 22.9018 0.0178583
0.41 1.03977 1.63576 22.906 0.0180435
