#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 3 22.5135 0.0006
0.02 0.06 2.9982 22.527 0.00120036
0.03 0.089982 2.9946 22.5405 0.00180108
0.04 0.119928 2.9892 22.554 0.00240216
0.05 0.14982 2.98201 22.5676 0.0030036
0.06 0.17964 2.97302 22.5811 0.0036054
0.07 0.20937 2.96224 22.5947 0.00420757
0.08 0.238993 2.94968 22.6082 0.00481009
0.09 0.268489 2.93534 22.6218 0.00541298
0.1 0.297843 2.91923 22.6354 0.00601623
0.11 0.327035 2.90136 22.6489 0.00661984
0.12 0.356049 2.88173 22.6625 0.00722381
0.13 0.384866 2.86037 22.6761 0.00782814
0.14 0.41347 2.83728 22.6897 0.00843284
0.15 0.441842 2.81247 22.7034 0.0090379
0.16 0.469967 2.78596 22.717 0.00964332
0.17 0.497827 2.75776 22.7306 0.0102491
0.18 0.525404 2.72789 22.7442 0.0108553
0.19 0.552683 2.69637 22.7579 0.0114618
0.2 0.579647 2.66321 22.7715 0.0120686
0.21 0.606279 2.62843 22.7852 0.0126759
0.22 0.632563 2.59205 22.7989 0.0132835
0.23 0.658484 2.5541 22.8126 0.0138915
0.24 0.684025 2.51459 22.8262 0.0144998
0.25 0.709171 2.47355 22.8399 0.0151085
0.26 0.733906 2.431 22.8536 0.0157176
0.27 0.758216 2.38696 22.8674 0.016327
0.28 0.782086 2.34147 22.8811 0.0169368
0.29 0.8055 2.29454 22.8948 0.017547
0.3 0.828446 2.24621 22.9085 0.0181575
0.31 0.850908 2.19651 22.9223 0.0187684
0.32 0.872873 2.14545 22.936 0.0193796
0.33 0.894328 2.09308 22.9498 0.0199913
0.34 0.915259 2.03942 22.9636 0.0206033
0.35 0.935653 1.98451 22.9774 0.0212156
0.36 0.955498 1.92837 22.9911 0.0218283
0.37 0.974781 1.87104 23.0049 0.0224414
0.38 0.993492 1.81255 23.0187 0.0230549
0.39 1.01162 1.75294 23.0325 0.0236687
0.4 1.02915 1.69224 23.0464 0.0242829
0.41 1.04607 1.63049 23.0602 0.0248975
