#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 2.9991 22.5 9e-08
0.02 0.059982 4.4964 50.598 1.2488
0.03 0.089928 4.491 50.5441 1.2464
0.04 0.11982 4.48291 50.4566 1.24252
0.05 0.14964 4.47213 50.3357 1.23714
0.06 0.179371 4.45866 50.1818 1.2303
0.07 0.208993 4.44252 49.9952 1.22201
0.08 0.238491 4.42372 49.7764 1.21228
0.09 0.267845 4.40226 49.5258 1.20115
0.1 0.297039 4.37816 49.2441 1.18863
0.11 0.326054 4.35143 48.932 1.17476
0.12 0.354874 4.32209 48.5902 1.15956
0.13 0.38348 4.29016 48.2195 1.14309
0.14 0.411857 4.25565 47.8208 1.12537
0.15 0.439987 4.21859 47.3951 1.10645
0.16 0.467852 4.179 46.9434 1.08637
0.17 0.495437 4.1369 46.4668 1.06519
0.18 0.522725 4.09232 45.9664 1.04295
0.19 0.549699 4.04529 45.4434 1.01971
0.2 0.576343 3.99582 44.8991 0.995515
0.21 0.602641 3.94396 44.3348 0.970434
0.22 0.628578 3.88974 43.7518 0.944524
0.23 0.654138 3.83318 43.1515 0.917846
0.24 0.679305 3.77432 42.5355 0.890465
0.25 0.704064 3.71319 41.9051 0.862447
0.26 0.728401 3.64984 41.2618 0.833858
0.27 0.752301 3.58429 40.6073 0.804768
0.28 0.77575 3.5166 39.943 0.775245
0.29 0.798733 3.4468 39.2706 0.745362
0.3 0.821237 3.37493 38.5918 0.71519
0.31 0.843249 3.30103 37.908 0.6848
0.32 0.864754 3.22515 37.221 0.654267
0.33 0.88574 3.14734 36.5324 0.623662
0.34 0.906195 3.06764 35.8439 0.593061
0.35 0.926107 2.9861 35.157 0.562536
0.36 0.945462 2.90276 34.4736 0.53216
0.37 0.964251 2.81769 33.7951 0.502006
0.38 0.982461 2.73092 33.1233 0.472147
0.39 1.00008 2.64252 32.4597 0.442654
0.4 1.0171 2.55253 31.806 0.413598
0.41 1.03351 2.46101 31.1636 0.38505
0.42 1.0493 2.36801 30.5342 0.357076
0.43 1.06446 2.2736 29.9193 0.329745
0.44 1.07898 2.17781 29.3202 0.303122
0.45 1.09286 2.08072 28.7386 0.27727
0.46 1.10608 1.98239 28.1757 0.252253
0.47 1.11863 1.88286 27.6329 0.22813
0.48 1.13051 1.7822 27.1116 0.204958
0.49 1.14172 1.68048 26.6129 0.182794
0.5 1.15224 1.57774 26.138 0.161691
0.51 1.16207 1.47406 25.6882 0.141699
0.52 1.1712 1.3695 25.2645 0.122866
0.53 1.17963 1.26411 24.8678 0.105237
0.54 1.18735 1.15796 24.4993 0.0888558
0.55 1.19436 1.05112 24.1596 0.0737602
0.56 1.20065 0.943653 23.8497 0.0599869
0.57 1.20622 0.835615 23.5703 0.0475689
0.58 1.21107 0.727077 23.3221 0.036536
0.59 1.21519 0.618102 23.1056 0.0269148
0.6 1.21859 0.508757 22.9214 0.0187282
0.61 1.22125 0.399106 22.7699 0.011996
0.62 1.22318 0.289215 22.6515 0.00673424
0.63 1.22437 0.179152 22.5665 0.00295563
0.64 1.22483 0.0689802 22.5151 0.000669208
0.65 1.22456 -0.0412325 22.4973 -0.00011954
0.66 1.22355 -0.151421 22.5133 0.000591279
0.67 1.2218 -0.261518 22.563 0.00279996
0.68 1.21933 -0.371458 22.6463 0.0065012
0.69 1.21612 -0.481175 22.7629 0.0116861
0.7 1.21218 -0.590604 22.9127 0.0183423
0.71 1.20751 -0.699678 23.0952 0.0264537
0.72 1.20212 -0.808333 23.31 0.0360009
0.73 1.19601 -0.916502 23.5566 0.046961
0.74 1.18918 -1.02412 23.8344 0.0593078
0.75 1.18164 -1.13113 24.1428 0.0730114
0.76 1.17339 -1.23745 24.4809 0.0880392
0.77 1.16443 -1.34304 24.848 0.104355
0.78 1.15478 -1.44782 25.2432 0.12192
0.79 1.14443 -1.55172 25.6655 0.140691
0.8 1.1334 -1.6547 26.114 0.160624
0.81 1.12169 -1.75669 26.5876 0.181671
0.82 1.1093 -1.85762 27.0851 0.203781
0.83 1.09625 -1.95744 27.6053 0.226901
0.84 1.08254 -2.05608 28.147 0.250977
0.85 1.06818 -2.15349 28.7089 0.275949
0.86 1.05318 -2.24961 29.2896 0.301758
0.87 1.03755 -2.34437 29.8877 0.328343
0.88 1.02129 -2.43773 30.5019 0.355639
0.89 1.00442 -2.52963 31.1306 0.383581
0.9 0.986953 -2.62001 31.7723 0.412101
0.91 0.96889 -2.70882 32.4255 0.441132
0.92 0.950247 -2.796 33.0886 0.470604
0.93 0.931033 -2.88151 33.76 0.500446
0.94 0.91126 -2.96528 34.4382 0.530586
0.95 0.890941 -3.04728 35.1214 0.560952
0.96 0.870087 -3.12745 35.8081 0.591472
