#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 3 22.5135 0.0006
0.02 0.0599865 2.9973 22.5135 0.00059973
0.03 0.089937 2.9928 22.5135 0.000599551
0.04 0.119834 2.98651 22.5135 0.000599372
0.05 0.149658 2.97842 22.5135 0.000599194
0.06 0.179393 2.96855 22.5135 0.000599016
0.07 0.20902 2.9569 22.5135 0.000598841
0.08 0.238522 2.94347 22.5135 0.000598666
0.09 0.267881 2.92828 22.5135 0.000598493
0.1 0.297079 2.91133 22.5135 0.000598322
0.11 0.326099 2.89264 22.5135 0.000598153
0.12 0.354923 2.8722 22.5135 0.000597987
0.13 0.383534 2.85005 22.5135 0.000597822
0.14 0.411916 2.82619 22.5134 0.000597661
0.15 0.44005 2.80063 22.5134 0.000597502
0.16 0.46792 2.77339 22.5134 0.000597346
0.17 0.495509 2.74449 22.5134 0.000597193
0.18 0.522801 2.71394 22.5134 0.000597043
0.19 0.54978 2.68176 22.5134 0.000596896
0.2 0.576428 2.64797 22.5134 0.000596753
0.21 0.602731 2.6126 22.5134 0.000596614
0.22 0.628672 2.57565 22.5134 0.000596479
0.23 0.654236 2.53717 22.5134 0.000596347
0.24 0.679408 2.49716 22.5134 0.000596219
0.25 0.704172 2.45565 22.5134 0.000596096
0.26 0.728514 2.41267 22.5134 0.000595976
0.27 0.752418 2.36824 22.5134 0.000595861
0.28 0.775871 2.32239 22.5134 0.00059575
0.29 0.798859 2.27515 22.5134 0.000595643
0.3 0.821368 2.22654 22.5134 0.00059554
0.31 0.843383 2.1766 22.5134 0.000595442
0.32 0.864893 2.12535 22.5134 0.000595349
0.33 0.885884 2.07283 22.5134 0.00059526
0.34 0.906343 2.01906 22.5134 0.000595175
0.35 0.926259 1.96408 22.5134 0.000595094
0.36 0.945619 1.90793 22.5134 0.000595018
0.37 0.964412 1.85062 22.5134 0.000594947
0.38 0.982626 1.79221 22.5134 0.000594879
0.39 1.00025 1.73273 22.5134 0.000594816
0.4 1.01728 1.6722 22.5134 0.000594757
0.41 1.03369 1.61067 22.5134 0.000594702
